scenario,seed,agent,agent_violations,lcb,lcb_violations,mu,mu_violations
shift,20002,1770485.5922263407,0,1860046.3440386264,0,1860046.3440386264,0
shift,20003,2212044.5881294026,0,2303307.0428341324,0,2303307.0428341324,0
shift,20004,756818.2574622175,0,934713.2420339995,0,936280.2124426252,0
shift,20005,569410.0454184161,0,638518.4408741579,0,677485.0326523433,0
shift,20006,2085627.8425748684,0,2085627.8425748684,0,2085627.8425748684,0
shift,20007,750971.6963645212,0,788678.2373821065,0,788678.2373821065,0
shift,20008,824297.6379719991,0,824297.6379719991,0,824297.6379719991,0
shift,20009,762103.9046863652,0,898163.4352636151,0,898163.4352636151,0
shift,20010,1718778.774881434,0,1729748.2021686514,0,1789784.300514291,0
shift,20011,2725582.3002615413,0,2933660.6191056464,0,2933660.6191056464,0
shift,20012,583347.9696457516,0,572179.0679794226,0,572179.0679794226,0
shift,20013,3207608.577074347,0,3207608.577074347,0,3207608.577074347,0
shift,20014,816235.5271619698,0,816235.5271619698,0,888680.7300254632,0
stingy,20000,1470065.536069401,0,1569540.674547541,0,1569540.674547541,0
stingy,20001,1043028.9744846222,0,1059262.7067905439,0,1059262.7067905439,0
stingy,20002,773973.7750829243,0,789729.7514736413,0,789729.7514736413,0
stingy,20003,393174.1552700973,0,393174.1552700973,0,438305.5614570922,0
stingy,20004,247113.9604127237,0,247113.9604127237,0,247113.9604127237,0
stingy,20005,462279.0140144392,0,521243.23714723997,0,521243.23714723997,0
stingy,20006,848494.9649434502,0,848494.9649434502,0,848494.9649434502,0
stingy,20007,1223338.2197091477,0,1223338.2197091477,0,1235241.66561205,0
stingy,20008,1026906.3358047139,0,1026906.3358047139,0,1024604.7793017083,0
stingy,20009,397459.4370292935,0,397459.4370292935,0,456787.49943078717,0
stingy,20010,733866.1442815332,0,752342.9219488206,0,762067.0405396364,0
stingy,20011,1296945.9825925636,0,1378646.612359279,0,1378646.612359279,0
stingy,20012,538687.8196950401,0,561206.3394947498,0,560768.5527724316,0
stingy,20013,1096232.6362826219,0,1099670.9427318117,0,1099670.9427318117,0
stingy,20014,1417668.3552462151,0,1489205.030270732,0,1487081.3575786594,0
unknown_rich,20000,485236.07527532836,0,485236.07527532836,0,485236.07527532836,0
unknown_rich,20001,1538803.6248038132,0,1538803.6248038132,0,1538803.6248038132,0
unknown_rich,20002,318848.2301259384,0,338430.4376830045,0,338430.4376830045,0
unknown_rich,20003,389802.98346128874,0,433701.00059001555,0,430087.6716138382,0
unknown_rich,20004,220908.4207016373,0,220908.4207016373,0,220908.4207016373,0
unknown_rich,20005,875624.7317505183,0,891007.7376242201,0,893920.05952685,0
unknown_rich,20006,1357455.883912074,0,1357455.883912074,0,1431898.938173321,0
unknown_rich,20007,262870.1485577323,0,220571.35882355145,0,220571.35882355145,0
unknown_rich,20008,707710.1730622196,0,705441.0450611201,0,705441.0450611201,0
unknown_rich,20009,117951.8950670863,0,117951.8950670863,0,117951.8950670863,0
unknown_rich,20010,1291049.9254204885,0,1358829.6771725474,0,1345547.4345796607,0
unknown_rich,20011,589696.1505244501,0,589696.1505244501,0,626238.8277397106,0
unknown_rich,20012,473623.8104177915,0,491897.67579524615,0,507916.6338431379,0
unknown_rich,20013,344249.7192605863,0,344204.84632846725,0,344204.84632846725,0
unknown_rich,20014,1597861.0078442525,0,1691182.3998701228,0,1691182.3998701228,0
high_rich,20000,5047132.555040396,0,5261398.681568774,0,5261398.681568774,0
high_rich,20001,4338593.349044682,0,4579607.889653421,0,4579607.889653421,0
high_rich,20002,4683328.548339616,0,4987219.034106354,0,4987219.034106354,0
high_rich,20003,4241144.026486773,0,4572441.953753648,0,4572441.953753648,0
high_rich,20004,4625440.356224506,0,4893913.653809393,0,4893733.295491644,0
high_rich,20005,4189688.8316512583,0,4466249.5353833735,0,4466249.5353833735,0
high_rich,20006,4210506.635621544,0,4521907.329864225,0,4521907.329864225,0
high_rich,20007,4444677.118325217,0,4782095.995042014,0,4782095.995042014,0
high_rich,20008,4797989.568763645,0,4797989.568763645,0,4797989.568763645,0
high_rich,20009,4159515.7729054233,0,4487943.196378578,0,4487943.196378578,0
high_rich,20010,7199358.867455954,0,7394313.278978148,0,7394313.278978148,0
high_rich,20011,7169416.881590836,0,7387338.338700267,0,7387338.338700267,0
high_rich,20012,6298226.072124513,0,6530454.099840635,0,6530454.099840635,0
high_rich,20013,7353397.271768264,0,7566657.858745249,0,7566657.858745249,0
high_rich,20014,4533711.69732025,0,4813910.215366476,0,4813910.215366476,0
resample,20000,4782901.102706084,0,5217821.396673358,0,5217821.396673358,0
resample,20001,4425580.791890523,0,4425580.791890523,0,4425580.791890523,0
resample,20002,4351753.7684993,0,4722592.523433954,0,4722592.523433954,0
resample,20003,4815692.343002405,0,5218591.958288053,0,5218591.958288053,0
resample,20004,3073637.400815638,0,3595330.8682107907,0,3595330.8682107907,0
resample,20005,4442788.4303856455,0,4864038.455314265,0,4864038.455314265,0
resample,20006,4470751.748003626,0,4918308.437286923,0,4916767.284380901,0
resample,20007,4267817.186532497,0,4371236.457370273,0,4371236.457370273,0
resample,20008,4226278.112927306,0,4226278.112927306,0,4226278.112927306,0
resample,20009,4840652.509460473,0,5322742.713402248,0,5322742.713402248,0
resample,20010,4448927.437452369,0,5055630.131556004,0,5055630.131556004,0
resample,20011,4307397.529225649,0,4699908.240247615,0,4708887.59509013,0
resample,20012,3939368.5769226667,0,4200985.064609835,0,4200985.064609835,0
resample,20013,4355915.041622797,0,4447996.699265115,0,4447996.699265115,0
resample,20014,4082153.307215638,0,4465757.485936494,0,4479694.355815757,0
random_soft,20000,6713318.945076704,0,7056453.700611381,0,7056453.700611381,0
random_soft,20001,4113185.0005435734,0,4120340.911163127,0,4069472.73241341,0
random_soft,20002,1609097.2263823356,0,1613563.819614048,0,1613563.819614048,0
random_soft,20003,4788694.562923984,0,5206096.647403105,0,5206096.647403105,0
random_soft,20004,1302227.4489246462,0,1302227.4489246462,0,1302227.4489246462,0
random_soft,20005,1180977.8208979208,0,1282825.606901487,0,1296183.3313400124,0
random_soft,20006,1600972.0427942427,0,1715496.7400768565,0,1711714.4885501435,0
random_soft,20007,754025.8756530873,0,837942.747847681,0,837942.747847681,0
random_soft,20008,2694968.028957935,0,2694968.028957935,0,2694968.028957935,0
random_soft,20009,512474.8255230277,0,604914.823102732,0,609685.8334942765,0
random_soft,20010,226127.78621543635,0,253928.94237382052,0,253928.94237382052,0
random_soft,20011,1395976.6687197848,0,1397339.7117784505,0,1397339.7117784505,0
random_soft,20012,291048.4545613344,0,291048.4545613344,0,250375.72637093614,0
random_soft,20013,3604688.076143709,0,3754773.3445562734,0,3754773.3445562734,0
random_soft,20014,30444.435401940966,0,30444.435401940966,0,1631.0947277539672,0
random_hard,20000,153184.93791055007,0,153184.93791055007,0,153184.93791055007,0
random_hard,20001,488872.95025556907,0,488872.95025556907,0,488872.95025556907,0
random_hard,20002,1051390.1240102756,0,1100456.7759103975,0,1100456.7759103975,0
random_hard,20003,3191185.1187139964,0,3368002.077826351,0,3368002.077826351,0
random_hard,20004,1202765.0763473217,0,1253926.1439513918,0,1253639.9340170068,0
random_hard,20005,2930364.969423599,0,3277431.851038852,0,3277431.851038852,0
random_hard,20006,2784183.5201777574,0,2926477.5915094484,0,2913368.8570246752,0
random_hard,20007,1519775.370194615,0,1541371.470161551,0,1541371.470161551,0
random_hard,20008,256886.94049850758,0,256886.94049850758,0,232559.6361012261,0
random_hard,20009,1003134.2501768912,0,998695.5810124564,0,998695.5810124564,0
random_hard,20010,395038.7140790216,0,473191.1292187363,0,357733.32338711084,0
random_hard,20011,514017.9070017949,0,586162.1308291653,0,586162.1308291653,0
random_hard,20012,712468.6004475626,0,843788.1963394996,0,843788.1963394996,0
random_hard,20013,271484.04959911975,0,288886.2080113269,0,288886.2080113269,0
random_hard,20014,-7619.310117835295,0,-7619.310117835295,0,-7619.310117835295,0
causal,20000,1375110.2779413238,0,1375110.2779413238,0,1375110.2779413238,0
causal,20001,1385480.285930427,0,1385480.285930427,0,1385480.285930427,0
causal,20002,1911580.2981788353,0,1930391.2080317156,0,1930391.2080317156,0
causal,20003,373510.8526158959,0,415867.7043115315,0,415867.7043115315,0
causal,20004,620690.1791514562,0,620690.1791514562,0,617949.8553203456,0
causal,20005,280404.18542788556,0,292354.6333688229,0,292354.6333688229,0
causal,20006,1594488.1720152395,0,1594488.1720152395,0,1564910.5772686854,0
causal,20007,531346.2596268216,0,547845.7769211621,0,547845.7769211621,0
causal,20008,489863.8748092627,0,489863.8748092627,0,489863.8748092627,0
causal,20009,426694.2410864504,0,456728.88341319445,0,456728.88341319445,0
causal,20010,1310855.3141831737,0,1417619.7333181452,0,1417619.7333181452,0
causal,20011,704374.2909046537,0,704374.2909046537,0,704374.2909046537,0
causal,20012,324062.6658710262,0,324062.6658710262,0,314628.023676063,0
causal,20013,1430128.8303015954,0,1430128.8303015954,0,1399193.835257696,0
causal,20014,1100707.437970534,0,1107764.7871245386,0,1107764.7871245386,0
