scenario,seed,flag_1,mean_z_1,flag_2,mean_z_2,flag_3,mean_z_3,flag_4,mean_z_4,flag_5,mean_z_5,single_flag_any
resample,9,False,0.5479158873563957,False,-0.6138637899317383,False,0.055799253773981684,False,-0.12070780948551055,False,-0.00031855606505540866,False
resample,10,False,-0.6531160892221599,False,-0.501749022582092,False,-0.43389916559722547,False,-0.2857978936823673,False,-0.04736623276260199,False
resample,11,False,1.3146475745527142,False,1.038151803886735,False,0.6577826384164992,False,0.3374701635369642,False,0.2679241131510295,False
resample,12,False,0.8510706216843006,False,1.019291292087796,False,1.1335073065100596,False,0.5333671613101034,False,0.15478481809654424,False
resample,13,True,-3.095016569483588,True,-1.3325177079356456,True,-0.4876035197067646,True,-0.2863513895680474,True,-0.2488579568455706,True
resample,14,False,-1.0497886713547862,False,-1.282061820564394,False,-0.9513908249420896,False,-0.40413303574125425,False,-0.20540457442794952,False
noise,0,False,-1.1025051239912504,False,-0.3975149451658217,False,-0.47966093409126564,False,-0.24144671550156455,False,0.016610866908445134,False
noise,1,False,0.9405398980662956,False,0.14793623432152675,False,0.3345608642489153,False,0.3678820130499905,False,0.47110078263922867,False
noise,2,False,-0.37922813678625605,False,-0.8187508412637318,False,-0.19198605261604476,False,0.2025264992085643,False,0.28183565964381263,False
noise,3,True,-2.4806789576664228,True,-2.0169561988280273,True,-1.1722390426879878,False,-0.9717759530767682,False,-0.6460292113053722,True
noise,4,False,0.2603436985897628,False,0.13263970633772765,False,-0.4540743462583257,False,-0.36763829619106125,False,-0.24444090186213385,False
noise,5,False,-0.6660363461846849,False,-0.9368293340429752,False,-0.47956972097196626,False,-0.357892658282236,False,-0.36760718318895397,False
noise,6,True,2.124810150637138,True,-0.284395377426385,True,-0.6014918019067662,True,-0.5200615891112172,True,-0.1602119822849435,True
noise,7,True,2.621516739211067,True,0.7685135168352122,True,0.5645734782856363,False,0.23874014412800224,False,0.45286093611933387,True
